epoch,train_acc,train_loss,test_acc,test_loss,test_ema_acc,test_ema_loss
1,0.6425166666666666,3.2317792093753814,0.2493,2.2385260615348814,0.0974,2.5558209829330445
2,0.7788166666666667,1.28281863117218,0.2805,3.5333271493911744,0.0989,3.4516198806762697
3,0.8184666666666667,0.8798909603953361,0.158,7.146861243247986,0.0982,5.351579679489136
4,0.8403833333333334,0.7293603563308716,0.117,14.529194011688233,0.1003,8.289557188034058
5,0.8543333333333333,0.6243513694703579,0.1679,14.954615818023681,0.1077,11.6598166847229
6,0.8650666666666667,0.5617885909080506,0.1154,22.634137619018556,0.1165,14.385455158233643
7,0.8704333333333333,0.5222936813831329,0.1592,16.27536371612549,0.1277,15.316219493865967
8,0.8743,0.49860449624061587,0.1104,24.370893760681152,0.1355,15.91906540298462
9,0.8813666666666666,0.46489412093162535,0.27,15.364179595947265,0.1633,14.518871746063233
10,0.8888166666666667,0.42561472611129286,0.1896,14.756721515655517,0.189,13.248007553100585
11,0.8907833333333334,0.4109127279818058,0.3095,10.180451496124267,0.2058,12.244837265014649
12,0.8916166666666666,0.4068251114487648,0.3275,10.07222668838501,0.2291,11.534228778839111
13,0.8984166666666666,0.3817147877812386,0.2522,14.263550144195557,0.2569,10.964600746154785
14,0.9008666666666667,0.36727793239057066,0.2904,11.320201168060303,0.2735,10.439841711044311
15,0.9052166666666667,0.343383519269526,0.3385,9.763583042144775,0.3016,9.896382795333862
16,0.9060666666666667,0.3344019511044025,0.2922,11.190999225616455,0.3285,9.238219760894776
17,0.9076166666666666,0.3261836617216468,0.278,10.476039665222167,0.3699,8.174321346282959
18,0.9096666666666666,0.3121860004961491,0.3765,7.605261042594909,0.4257,6.697815253257751
19,0.9136833333333333,0.30398296655714513,0.5232,5.851421350479126,0.5027,5.476776864051819
20,0.9148,0.2956152690052986,0.4095,7.412466082572937,0.5717,4.601365432739258
21,0.917,0.2794320767968893,0.5736,4.257804984092712,0.6042,4.15940478515625
22,0.9163666666666667,0.2848542321026325,0.4094,6.605926329612732,0.6256,3.7558152637481688
23,0.9215333333333333,0.2637925106137991,0.4924,4.782645825386047,0.6407,3.5716957025527956
24,0.92255,0.2609745824560523,0.5923,3.7246764187812804,0.6863,2.869330924510956
25,0.9234833333333333,0.2560974761918187,0.7523,2.0416114988327028,0.7413,2.2229951014518736
26,0.9255166666666667,0.24729400360584258,0.679,2.685768527030945,0.7795,1.8536322355270385
27,0.9273,0.24131030642241239,0.7376,1.6738568658828736,0.7898,1.6259610893726348
28,0.9289166666666666,0.23924350908398628,0.7593,1.9183736848831177,0.8095,1.3459662308692932
29,0.9289,0.23492280948162078,0.7321,2.038182225704193,0.8255,1.1792267911434173
30,0.9315666666666667,0.2207176886573434,0.7143,2.0413184189796447,0.8341,1.0877745798826217
31,0.93215,0.22029058769345283,0.7502,1.3207045195102691,0.8426,0.8614297704696655
32,0.9329333333333333,0.2183902686983347,0.7399,1.7566678669452667,0.8586,0.627581996679306
33,0.9333833333333333,0.21091984833031893,0.8323,0.9345089859962463,0.8764,0.4770155144482851
34,0.9353666666666667,0.20980403165146708,0.8131,1.1751073093414306,0.8964,0.35960698445141315
35,0.93635,0.20203819841891527,0.791,1.7842238056659698,0.9096,0.3084261302836239
36,0.9372666666666667,0.199712766058743,0.9259,0.291863812930882,0.9302,0.2155223727915436
37,0.9389666666666666,0.19870139876008033,0.9718,0.12041841211298016,0.9538,0.12975028698891403
38,0.93955,0.1929693535119295,0.8932,0.4344209010601044,0.9755,0.07091514709184411
39,0.94035,0.19300776134431363,0.985,0.06393297380645527,0.9889,0.03867556403006893
40,0.93985,0.19107668478786946,0.9732,0.08206851283623837,0.9922,0.029133622402703622
41,0.9412166666666667,0.18780479171127082,0.9695,0.13618234344525262,0.9935,0.02343383747644111
42,0.9410666666666667,0.18297046925872565,0.9368,0.2101774842403829,0.9937,0.02189937103784905
43,0.9429,0.1815964973717928,0.9741,0.08837410634243861,0.994,0.02282782707118895
44,0.9428,0.17733097312599422,0.9909,0.030850747868629697,0.9936,0.020480398674306344
45,0.9448166666666666,0.17534198901057244,0.9907,0.03172237108424815,0.994,0.01942856070531343
46,0.946,0.16869362716376782,0.988,0.041745896483946124,0.9944,0.01901176012461292
47,0.9447333333333333,0.17163013215363027,0.984,0.05423351078934502,0.9943,0.01884866959158762
48,0.9464333333333333,0.1640940446704626,0.9785,0.06772804746450857,0.9941,0.01933851566327485
49,0.9451,0.16742421251162887,0.9902,0.03626394044408335,0.994,0.019166416469550314
50,0.9460833333333334,0.1684671947658062,0.9843,0.050329855093499645,0.9941,0.018692758237250928
51,0.9468666666666666,0.16434202763810754,0.992,0.028786301334745076,0.9943,0.01787526966596124
52,0.9464,0.16572536420822143,0.9894,0.03647565009549726,0.9945,0.01763080812385806
53,0.9472333333333334,0.1608619867414236,0.9882,0.04387931660353206,0.994,0.01833362611700704
54,0.9480833333333333,0.16008117558807133,0.9903,0.03385749784113068,0.994,0.01801807909822037
55,0.948,0.15818182757496835,0.992,0.029714649787671077,0.994,0.017287405253139695
56,0.95005,0.15324190621823072,0.9933,0.024622481187891027,0.9948,0.01738799744960397
57,0.9499666666666666,0.15610067414492368,0.9927,0.022650930796760803,0.9945,0.017492113678637906
58,0.95125,0.15066936088725924,0.9921,0.02674592917115274,0.9941,0.016763338550013485
59,0.9507,0.1521400815397501,0.9828,0.05511460408463609,0.9945,0.016409875639692928
60,0.9506333333333333,0.15290973749011755,0.9725,0.0815976243633777,0.9947,0.016866406070216725
61,0.9510166666666666,0.14883786099404098,0.994,0.022162971181039666,0.9942,0.01646767228339331
62,0.9519666666666666,0.15028787757083772,0.9347,0.18234940298646687,0.9947,0.016891102433909965
63,0.9526333333333333,0.14768704459071158,0.9903,0.035710739320493304,0.9949,0.01722358872390623
